Mission name,Launch date,Description,Ref(s)
Mariner 4,1964-11-28,First successful Mars flyby,[54][55]
Zond 2,1964-11-30,Mars flyby (contact lost),[46][56][57]
Ranger 8,1965-02-17,Lunar impact,[58][59]
Voskhod 2,1965-03-18,"First space walk, by Alexei Leonov",[51][60]
Ranger 9,1965-03-21,Lunar impact,[61][62]
Lincoln Calibration Sphere 1,1965-05-06,Oldest spacecraft still in use[citation needed],[63]
Luna 5,1965-05-09,Lunar impact (attempted soft landing),[64]
Luna 6,1965-06-08,Attempted lunar lander (missed Moon),[65]
Zond 3,1965-07-18,Lunar flyby,[46][66][67]
Luna 7,1965-10-04,Lunar impact (attempted soft landing),[68]
Venera 2,1965-11-12,Venus flyby (contact lost),[69][18]
Venera 3,1965-11-16,"Venus lander (contact lost) – First spacecraft to reach another planet's atmosphere and surface, First Venus impact",[70][18]
Luna 8,1965-12-03,Lunar impact (attempted soft landing?),[71]
Pioneer 6,1965-12-16,"""Space weather"" observations",[72][73][74][75]
Luna 9,1966-01-31,First extraterrestrial lander and lunar lander,[10][76]
Luna 10,1966-03-31,First extraterrestrial orbiter and first lunar orbiter,[77]
Surveyor 1,1966-05-30,Lunar lander,[78][79][80]
Explorer 33,1966-07-01,Attempted lunar orbiter (failed to attain lunar orbit),[81][82]
Lunar Orbiter 1,1966-08-10,Lunar orbiter,[83][84][85]
Pioneer 7,1966-08-17,"""Space weather"" observations",[75][86][87]
Luna 11,1966-08-24,Lunar orbiter,[88]
Surveyor 2,1966-09-20,Attempted lunar lander (crashed into Moon),[89][90]
Luna 12,1966-10-22,Lunar orbiter,[91]
Lunar Orbiter 2,1966-11-06,Lunar orbiter,[92][93]
Luna 13,1966-12-21,Lunar lander,[94]
Lunar Orbiter 3,1967-02-05,Lunar orbiter,[95][96]
Surveyor 3,1967-04-17,Lunar lander,[97][98]
Lunar Orbiter 4,1967-05-04,Lunar orbiter,[99][100]
Venera 4,1967-06-12,First functioning extraterrestrial atmospheric probe (Venus),[18][101]
Mariner 5,1967-06-14,Venus flyby,[102][103]
Surveyor 4,1967-07-14,Attempted lunar lander (crashed into Moon),[104][105]
Explorer 35 (IMP-E),1967-07-19,Lunar orbiter,[106]
Lunar Orbiter 5,1967-08-01,Lunar orbiter,[85][107][108]
Surveyor 5,1967-09-08,Lunar lander,[109][110]
Surveyor 6,1967-11-07,"Lunar lander, first lift-off from an extraterrestrial body",[79][111][112]
Apollo 4,1967-11-09,Lunar programme test flight in Earth orbit (uncrewed),[113]
Pioneer 8,1967-12-13,"""Space weather"" observations",[75][114][115]
Surveyor 7,1968-01-07,Lunar lander,[116][117]
Apollo 5,1968-01-22,Lunar programme test flight in Earth orbit (uncrewed),[118][119]
Zond 4,1968-03-02,Lunar programme test flight out of Earth orbit (uncrewed),[46][120][121][122]
Luna 14,1968-04-07,Lunar orbiter,[123]
Zond 5,1968-09-14,"First lunar flyby and return to Earth, first life forms to circle the Moon",[46][124][125][126][127]
Apollo 7,1968-10-11,Lunar programme test flight in Earth orbit (crewed),[128][129]
Pioneer 9,1968-11-08,"""Space weather"" observations",[75][130][131]
Zond 6,1968-11-10,Lunar flyby and return to Earth,[46][132][133]
Apollo 8,1968-12-21,"First crewed spacecraft to leave Earth orbit, first crewed lunar orbiter",[129][134][135]
Venera 5,1969-01-05,Venus atmospheric probe,[18][136]
Venera 6,1969-01-10,Venus atmospheric probe,[18][137]
Mariner 6,1969-02-25,Mars flyby,[138][139]
Apollo 9,1969-03-03,Crewed lunar lander (LEM) flight test in Earth orbit,[129][140]
Mariner 7,1969-03-27,Mars flyby,[141][142]
Apollo 10,1969-05-18,Crewed lunar orbiter,[129][143][144]
Luna 15,1969-07-13,Second attempted lunar sample return,[145][146]
Apollo 11,1969-07-16,First crewed lunar landing and first successful sample return mission,[147][148][149][150][151]
Zond 7,1969-08-07,Lunar flyby and return to Earth,[46][152][153]
Apollo 12,1969-11-14,Crewed lunar landing,[154][155][156]
Apollo 13,1970-04-11,"Crewed lunar flyby and return to Earth (crewed lunar landing aborted). Farthest from Earth a human has gone (401,056 km)",[157][158][159][160]
Venera 7,1970-08-17,"First Venus lander and the first spacecraft to ""soft"" land on another planet (with some data returned from the surface)",[18][161][162]
Luna 16,1970-09-12,First robotic lunar sample return,[10][163]
Zond 8,1970-10-20,Lunar flyby and return to Earth,[46][164][165]
Luna 17/Lunokhod 1,1970-11-10,First remote controlled rover,[10][166]
Apollo 14,1971-01-31,Crewed lunar landing,[167][168][169]
Salyut 1,1971-04-19,First space station,[170][171]
Mars 2,1971-05-19,"First Mars impact, Mars orbiter and attempted lander; First rover (Prop-M) sent to another planet (Mars)",[172][173][174][175][176]
Mars 3,1971-05-28,"Mars orbiter, First Mars lander (first image taken from the surface of another planet, though the received image did not show anything); First rover (Prop-M) to be landed but not deployed on another planet (Mars)",[177][178][179][180][181]
Mariner 9,1971-05-30,First to orbit another planet (Mars),[182][183]
Apollo 15,1971-07-26,Crewed lunar landing; First crewed lunar rover,[129][184][185][186]
Luna 18,1971-09-02,Attempted lunar sample return (crashed into Moon),[187][188]
Luna 19,1971-09-28,Lunar orbiter,[189]
Luna 20,1972-02-14,Lunar robotic sample return,[190]
Pioneer 10,1972-03-03,First Jupiter flyby,[191][192][74]
Venera 8,1972-03-27,Venus lander,[18][193][194]
Apollo 16,1972-04-16,Crewed lunar landing,[195][196][197]
Apollo 17,1972-12-07,Last crewed lunar landing,[198][199][200][201]
Luna 21/Lunokhod 2,1973-01-08,Lunar rover,[202]
Pioneer 11,1973-04-05,Jupiter flyby and First Saturn flyby,[74][203][204]
Explorer 49 (RAE-B),1973-06-10,Lunar orbiter/radio astronomy,[205][206]
Mars 4,1973-07-21,Mars flyby (attempted Mars orbiter),[207][208]
Mars 5,1973-07-25,Mars orbiter,[209][210]
Mars 6,1973-08-05,Mars flyby and attempted lander (failed due to damage on Mars landing),[211][212]
Mars 7,1973-08-09,Mars flyby and attempted lander (missed Mars),[213][214]
Mariner 10,1973-11-03,Lunar and Venus flybys in addition to the First Mercury flyby,[215][216][217][218]
Luna 22,1974-05-29,Lunar orbiter,[10][219]
Luna 23,1974-10-28,Attempted lunar sample return (failed due to damage on lunar landing),[220]
Helios-A,1974-12-10,Solar observations,[221][222]
Venera 9,1975-06-08,First Venus orbiter and lander; First successful images from the surface of another planet (Venus),[18][223][224][225]
Venera 10,1975-06-14,Venus orbiter and lander,[18][226][227][228]
Viking 1,1975-08-20,Mars orbiter and lander; First clear pictures from Martian surface,[229][230][231][232]
Viking 2,1975-09-09,Mars orbiter and lander,[232][233][234][235]
Helios-B,1976-01-15,Solar observations,[236][237]
Luna 24,1976-08-09,Lunar robotic sample return,[10][238]
Voyager 2,1977-08-20,Jupiter/Saturn/first Uranus/first Neptune flyby,[239][240][241]
Voyager 1,1977-09-05,"Jupiter/Saturn flyby, first to exit the heliosphere",[241][242][243]
Pioneer Venus 1,1978-05-20,Venus orbiter,[244][245]
Pioneer Venus 2,1978-08-08,Venus atmospheric probes,[246][247]
ISEE-3,1978-08-12,Solar wind investigations; later redesignated International Cometary Explorer and performed Comet Giacobini-Zinner and Comet Halley flybys – First comet flyby,[248][249][250]
Venera 11,1978-09-09,Venus flyby and lander,[18][251][252][253]
Venera 12,1978-09-14,Venus flyby and lander,[18][254][255][256]
Venera 13,1981-10-30,Venus flyby and lander. First recording of sound on another planet.,[18][257][258][259]
Venera 14,1981-11-04,Venus flyby and lander,[18][260][261][262]
Venera 15,1983-06-02,Venus orbiter,[18][263][264]
Venera 16,1983-06-07,Venus orbiter,[18][265][266]
Vega 1,1984-12-15,"Venus flyby, lander and first extraterrestrial aircraft (aerostat balloon); continued on to Comet Halley flyby",[267][268][269][270][271]
Vega 2,1984-12-21,"Venus flyby, lander and balloon; continued on to Comet Halley flyby",[271][272][273][274][275]
Sakigake,1985-01-08,Comet Halley flyby,[276][277]
Giotto,1985-07-02,"First close observation of comet (distance 596 kilometers), Comet Halley flyby",[278][279][280]
Suisei (Planet-A),1985-08-18,Comet Halley flyby,[281][282]
Mir,1986-02-19,First modular space station (operational 1986–2000; final module added 1996),[283][284][285]
Phobos 1,1988-07-07,Attempted Mars orbiter/Phobos landers (contact lost),[286][287]
Phobos 2,1988-07-12,Mars orbiter/attempted Phobos landers (contact lost),[288][289]
Magellan,1989-05-04,Venus orbiter,[290][291]
Galileo,1989-10-18,"Venus flyby, first Asteroid flyby (Gaspra), first Asteroid moon discovery (Dactyl), first Jupiter orbiter, first Jupiter atmospheric probe",[292][293][294][295]
Hiten (MUSES-A),1990-01-24,Lunar flyby and orbiter,[296][297]
Hubble Space Telescope,1990-04-24,Orbital space telescope (operational since 1990[needs update]),[298][299][300]
Ulysses,1990-10-06,Solar polar orbiter,[301][302][303]
Yohkoh (Solar-A),1991-08-30,Solar observations (1991–2001),[304][305]
Mars Observer,1992-09-25,Attempted Mars orbiter (contact lost),[306][307]
Clementine,1994-01-25,Lunar orbiter/attempted asteroid flyby (contact lost),[308][309][310]
WIND,1994-11-01,Solar wind observations,[311][312]
SOHO,1995-12-02,Solar observatory (operational since 1996[needs update]),[313][314][315]
NEAR Shoemaker,1996-02-17,"Eros orbiter, first near-Earth asteroid flyby, first asteroid orbit and first asteroid landing",[316][317][318]
Mars Global Surveyor,1996-11-07,Mars orbiter,[319][320]
Mars 96,1996-11-16,Attempted Mars orbiter/landers (failed to escape Earth orbit),[321][322]
Mars Pathfinder,1996-12-04,Mars lander and first successful planetary rover,[323][324][325]
ACE,1997-08-25,"Solar wind and ""space weather"" observations (operational since 1998)",[326][327]
Cassini–Huygens,1997-10-15,First Saturn orbiter and first outer planet moon lander (on Titan),[328][329][330][331][332]
Lunar Prospector,1998-01-07,Lunar orbiter,[333][334]
Nozomi (Planet-B),1998-07-03,Attempted Mars orbiter (failed to enter Mars orbit),[335][336]
Deep Space 1 (DS1),1998-10-24,Asteroid and comet flyby,[337][338]
ISS,1998-11-20,International space station,[339][340]
Mars Climate Orbiter,1998-12-11,Attempted Mars orbiter (orbit insertion failed; entered atmosphere and was destroyed),[341][342]
Mars Polar Lander/Deep Space 2 (DS2),1999-01-03,Attempted Mars lander/penetrators (contact lost),[343][344][345]
Stardust,1999-02-07,First comet coma sample return (returned 15 January 2006),[346][347][348]
2001 Mars Odyssey,2001-04-07,Mars orbiter,[349][350]
Genesis,2001-08-08,First solar wind sample return,[351][352][353][354]
CONTOUR,2002-07-03,"Attempted flyby of comet nuclei (Encke, Schwassmann-Wachmann-3, and optionally a third one; lost in space)",[355][356]
Hayabusa (MUSES-C),2003-05-09,Asteroid lander and first sample return from asteroid,[357][358][359]
Mars Express/Beagle 2,2003-06-02,Mars orbiter/attempted lander (lander failure),[360][361][362][363]
Mars Exploration Rover Spirit,2003-06-10,Mars rover,[364][365]
Mars Exploration Rover Opportunity,2003-07-08,Mars rover,[366][367]
SMART-1,2003-09-27,Lunar orbiter,[368][369]
Rosetta/Philae,2004-03-02,Asteroid Šteins and Lutetia flybys; first comet orbiter and lander (Landed in November 2014),[370][371][372][373]
MESSENGER,2004-08-03,First Mercury orbiter (Achieved orbit 18 March 2011),[374][375][376]
Deep Impact,2005-01-12,Comet flyby and impact,[377][378][379][380]
Mars Reconnaissance Orbiter,2005-08-12,Mars orbiter,[381][382]
Venus Express,2005-11-09,Venus polar orbiter,[383][384]
New Horizons,2006-01-19,First Pluto/Charon flyby (on 14 July 2015); continued on to 486958 Arrokoth flyby (on 1 January 2019),[385][386][387][388]
Hinode (Solar-B),2006-09-22,Solar orbiter,[389][390]
STEREO,2006-10-26,"Two spacecraft, solar orbiters",[391][392][393]
Phoenix,2007-08-04,Mars polar lander (Mars landing on 25 May 2008),[394][395]
SELENE (Kaguya),2007-09-14,Lunar orbiters,[396][397][398][399]
Dawn,2007-09-27,Asteroid Ceres and Vesta orbiter (Entered orbit around Vesta on 16 July 2011 and around Ceres on 6 March 2015),[400][401][402]
Chang'e 1,2007-10-24,Lunar orbiter,[403][404][405]
Chandrayaan-1,2008-10-22,Lunar orbiter and impactor; discovered water on the Moon,[406][407][408]
Herschel Space Observatory,2009-05-14,Infrared space telescope at Sun–Earth L2 Lagrange point,[409][410]
Lunar Reconnaissance Orbiter/LCROSS,2009-06-18,Lunar polar orbiter and lunar impactor,[411][412][413][414]
WISE (NEOWISE),2009-12-14,Infrared survey of celestial sky (WISE mission); later Near-Earth object survey (NEOWISE mission),[415][416][417]
Solar Dynamics Observatory,2010-02-11,Continuous solar monitoring,[418][419]
Akatsuki (Planet-C),2010-05-20,Venus orbiter (orbit insertion failed in 2010 / successful orbit insertion on 7 December 2015),[420][421][422]
PICARD,2010-06-15,Solar monitoring,[423][424]
Chang'e 2,2010-10-01,"Lunar orbiter, asteroid 4179 Toutatis flyby",[405][425][426]
Juno,2011-08-05,Jupiter orbiter,[427][428]
GRAIL,2011-09-10,"Two spacecraft, Lunar orbiters",[429][430][431]
Fobos-Grunt and Yinghuo-1,2011-11-08,"Attempted Phobos sample return and Mars orbiter, respectively; both failed to escape Earth orbit",[432][433]
Mars Science Laboratory (Curiosity rover),2011-11-26,Mars rover (landed 6 August 2012),[434][435]
Van Allen Probes (RBSP),2012-08-30,Earth Van Allen radiation belts study,[436][437][438]
IRIS,2013-06-28,Solar observations,[439]
LADEE,2013-09-07,Lunar orbiter,[440][441]
Hisaki,2013-09-14,Planetary atmosphere observatory,[442]
Mars Orbiter Mission (Mangalyaan),2013-11-05,Mars orbiter,[443][444][445]
MAVEN,2013-11-18,Mars orbiter,[446][447]
Chang'e 3,2013-12-01,Lunar lander and rover (first lander since Soviet Luna 24 in 1976),[405][448][449][450]
Chang'e 5-T1,2014-10-23,Circumlunar mission and Earth reentry; technology demonstration to prepare for Chang'e 5 mission,[451]
Hayabusa2 / MASCOT,2014-12-03,"Asteroid lander and sample return (sample returned 5 December 2020), first asteroid rover",[359][452][453]
PROCYON,2014-12-03,Comet observer and attempted asteroid flyby (engine failure),[454]
DSCOVR,2015-02-11,Solar observation,[455][456]
ExoMars Trace Gas Orbiter and EDM lander,2016-03-14,Mars orbiter and attempted lander (lander failure),[457][458]
OSIRIS-REx,2016-09-08,Asteroid sample return mission (sample returned 24 September 2023[needs update]),[459][460]
InSight,2018-05-05,Mars lander,[461][462]
Queqiao,2018-05-20,Relay satellite for Chang'e 4 in Halo orbit around Earth–Moon L2 Lagrange point,[463]
Parker Solar Probe,2018-08-12,"Solar corona probe, closest solar approach (0.04 AU)",[464][465]
BepiColombo,2018-10-19,Two Mercury orbiters (orbit insertion planned in December 2025),[466][467]
Chang'e 4,2018-12-07,"Lunar lander and rover, first landing on the lunar far side",[405][468][469]
Beresheet,2019-02-22,Attempted lunar lander (crashed into Moon),[470][471]
Chandrayaan-2,2019-07-22,Lunar orbiter; attempted lander and rover (contact lost during final stage of descent),[472][473]
Solar Orbiter,2020-02-10,Sun-observing satellite,[474][475][476]
Mars Hope,2020-07-19,Mars orbiter,[477]
Tianwen-1 (Zhurong rover),2020-07-23,"Mars orbiter, lander, and rover",[478]
Mars 2020 (Perseverance rover and Ingenuity helicopter),2020-07-30,Mars rover and helicopter drone; first powered flight on another planet,[479][480][481]
Chang'e 5,2020-11-23,Lunar sample return,[405][482]
Lucy,2021-10-16,Flyby of six Jupiter trojans and two main belt asteroids,[483][484]
DART / LICIACube,2021-11-24,"Asteroid 65803 Didymos flyby, asteroid moon Dimorphos impactor",[485][486]
James Webb Space Telescope,2021-12-25,Infrared space telescope at Sun–Earth L2,[487][488]
CAPSTONE,2022-06-28,Lunar orbiter,[489]
Danuri (KPLO),2022-08-05,Lunar orbiter,[490]
Artemis 1 and 10 cubesats,2022-11-16,Uncrewed lunar orbital test of Orion spacecraft and Space Launch System. The cubesats are launched as rideshares and will execute their own missions.,[491]
Hakuto-R Mission 1 (Rashid rover) and Lunar Flashlight,2022-12-11,"Lunar lander technology demonstration, lunar rover, and lunar orbiter launched together (crashed into Moon)",[492][493][494]
JUICE,2023-04-14,Jupiter/Ganymede orbiter,[495]
Chandrayaan-3,2023-07-14,"Lunar orbiter, lander and rover; first soft landing near the lunar South Pole",[496][497]
Luna 25,2023-08-10,Attempted lunar south pole lander (crashed into Moon),[498][499]
Aditya-L1,2023-09-02,Sun-observing spacecraft at Sun–Earth L1,[500]
"SLIM (LEV-1, LEV-2)",2023-09-06,"Lunar flyby, lander and rovers",[501][502]
Psyche,2023-10-13,Asteroid 16 Psyche orbiter,[503]
Peregrine Mission One (including Iris and Colmena rovers),2024-01-08,Lunar lander and rovers (landing precluded),[504]
IM-1 Nova-C Odysseus (including EagleCam deployable camera),2024-02-15,Lunar landers,[505]
DRO A/B,2024-03-13,Lunar orbiters,[506]
Queqiao-2 (including Tiandu-1 and 2),2024-03-20,Lunar orbiters,[507]
Chang'e 6 (including Pakistan's ICUBE-Q cubesat),2024-05-03,"Lunar sample return, rover and orbiters; first sample return from the lunar far side",[508][509]
